First Name,Last Name,Team,Position,Height(inches),Weight(pounds),Age
Alex,Rios,TOR,Outfielder,77,194,26.03
Vernon,Wells,TOR,Outfielder,73,225,28.23
Reed,Johnson,TOR,Outfielder,70,180,30.23
Davis,Romero,TOR,Relief Pitcher,70,155,23.92
Brandon,League,TOR,Relief Pitcher,75,192,23.96
Jean,Machi,TOR,Relief Pitcher,72,160,24.08
Dustin,McGowan,TOR,Relief Pitcher,75,220,24.94
Jeremy,Accardo,TOR,Relief Pitcher,74,190,25.23
Tracy,Thorpe,TOR,Relief Pitcher,76,250,26.21
Francisco,Rosario,TOR,Relief Pitcher,72,197,26.42
Matt,Roney,TOR,Relief Pitcher,75,245,27.14
Brian,Tallet,TOR,Relief Pitcher,79,208,29.44
Jason,Frasor,TOR,Relief Pitcher,70,170,29.56
Scott,Downs,TOR,Relief Pitcher,74,190,30.95
B.J.,Ryan,TOR,Relief Pitcher,78,249,31.17
Aaron,Hill,TOR,Second Baseman,71,195,24.94
Russ,Adams,TOR,Second Baseman,73,180,26.5
Jason,Smith,TOR,Second Baseman,75,199,29.6
John,McDonald,TOR,Shortstop,71,175,32.43
Royce,Clayton,TOR,Shortstop,72,185,37.16
Shaun,Marcum,TOR,Starting Pitcher,72,180,25.21
Casey,Janssen,TOR,Starting Pitcher,76,205,25.45
Gustavo,Chacin,TOR,Starting Pitcher,71,193,26.24
Roy,Halladay,TOR,Starting Pitcher,78,230,29.8
A.J.,Burnett,TOR,Starting Pitcher,76,230,30.15
Tomo,Ohka,TOR,Starting Pitcher,73,200,30.95
John,Thomson,TOR,Starting Pitcher,75,220,33.41
John,Hattig,TOR,Third Baseman,74,210,27.01
Troy,Glaus,TOR,Third Baseman,77,240,30.57
Jesus,Flores,WAS,Catcher,73,180,22.34
Brian,Schneider,WAS,Catcher,73,196,30.26
Larry,Broadway,WAS,First Baseman,76,230,26.2
Nick,Johnson,WAS,First Baseman,75,224,28.45
Kory,Casto,WAS,Outfielder,73,200,25.23
Chris,Snelling,WAS,Outfielder,70,165,25.24
Austin,Kearns,WAS,Outfielder,75,220,26.78
Nook,Logan,WAS,Outfielder,74,180,27.26
Mike,Restovich,WAS,Outfielder,76,257,28.16
Ryan,Church,WAS,Outfielder,73,190,28.38
Alex,Escobar,WAS,Outfielder,73,190,28.48
Emiliano,Fruto,WAS,Relief Pitcher,75,235,22.73
Ryan,Wagner,WAS,Relief Pitcher,76,210,24.63
Chad,Cordero,WAS,Relief Pitcher,72,198,24.95
Jerome,Williams,WAS,Relief Pitcher,75,246,25.24
Beltran,Perez,WAS,Relief Pitcher,74,180,25.35
Brett,Campbell,WAS,Relief Pitcher,72,170,25.37
Jason,Bergmann,WAS,Relief Pitcher,76,190,25.43
Levale,Speigner,WAS,Relief Pitcher,71,170,26.43
Jon,Rauch,WAS,Relief Pitcher,83,260,28.42
Chris,Schroder,WAS,Relief Pitcher,75,210,28.53
Luis,Ayala,WAS,Relief Pitcher,74,186,29.13
Saul,Rivera,WAS,Relief Pitcher,71,150,29.23
Chris,Booker,WAS,Relief Pitcher,75,230,30.22
Micah,Bowie,WAS,Relief Pitcher,76,203,32.3
Bernie,Castro,WAS,Second Baseman,70,160,27.63
Josh,Wilson,WAS,Shortstop,73,178,25.93
Felipe,Lopez,WAS,Shortstop,73,185,26.8
Cristian,Guzman,WAS,Shortstop,72,205,28.94
Joel,Hanrahan,WAS,Starting Pitcher,75,215,25.4
Shawn,Hill,WAS,Starting Pitcher,74,185,25.84
Mike,O'Connor,WAS,Starting Pitcher,75,170,26.54
Billy,Traber,WAS,Starting Pitcher,77,205,27.45
Tim,Redding,WAS,Starting Pitcher,72,200,29.05
John,Patterson,WAS,Starting Pitcher,77,208,29.08
Ryan,Zimmerman,WAS,Third Baseman,75,210,22.42
